"column","meaning"
"fiscal_year","NYC fiscal year, July 1 to June 30. FY2025 = July 2024 to June 2025."
"n","Number of employee records in the group."
"suppressed","TRUE where the group has fewer than 30 people and statistics are withheld."
"median_salary","Median base salary, nominal dollars of that fiscal year."
"mean_salary","Mean base salary, nominal dollars of that fiscal year."
"real_median","Median base salary in FY2025 dollars, deflated by NY-area CPI."
"wage_index","Median base salary indexed to 100 in the group's first reportable year (usually FY2014)."
"cpi_index","NY-area CPI-U (CUURS12ASA0) indexed to 100 in FY2014."
"rent_index","NY-area rent of primary residence (CUURS12ASEHA) indexed to 100 in FY2014."
"gap","Pay gap as (higher - lower) / higher. The conventional measure."
"gap_dollars","Pay gap in dollars of that fiscal year."
"within_gap","Portion of the gender gap from unequal pay inside the same title."
"between_gap","Portion of the gender gap from women being concentrated in lower-paid titles."
"compression_ratio","Median pay of hires within 2 years divided by median pay of staff past 10 years. Above 1.0, new hires out-earn veterans."
"experience_premium","Median veteran pay minus median new-hire pay, in dollars."
"ot_share_of_pay","Overtime paid divided by total compensation for the group."
"pct_with_ot","Share of the group that was paid any overtime."
"separation_rate","CEASED records divided by all records. Mixes quits, retirements, layoffs and deaths."
"deflator","Multiply a nominal figure from that fiscal year by this to get FY2025 dollars."
