"agency","fiscal_year","n","n_matched","mean_salary","male_mean","female_mean","male_n","female_n","real_male_mean","real_female_mean","gap","gap_dollars","female_share","suppressed"
"ADMIN FOR CHILDREN'S SVCS",2014,5161,5161,58287.1280759541,58308.6951344085,58278.7276031885,1446.72711361032,3714.27288638969,76690.1252322934,76650.7106352618,0.00051394618162802,29.9675312200416,0.719680853786027,FALSE
"ADMIN FOR CHILDREN'S SVCS",2015,5216,5216,60698.9311733128,60918.3680979916,60614.8290777604,1445.20638587457,3770.79361412544,79736.3205458582,79339.0169842064,0.00498271752360384,303.539020231212,0.722928223566993,FALSE
"ADMIN FOR CHILDREN'S SVCS",2016,5163,5163,63096.9343404997,63405.6757344781,62977.47962994,1440.33227785723,3722.66772214278,82515.5505339514,81958.3001475594,0.0067532772039403,428.196104538081,0.721028030630016,FALSE
"ADMIN FOR CHILDREN'S SVCS",2017,5456,5456,65137.043255132,66147.7708777601,64752.3833548275,1504.02979929937,3951.97020070064,84592.0602766926,82807.5903862806,0.0210950044788549,1395.38752293261,0.724334714204662,FALSE
"ADMIN FOR CHILDREN'S SVCS",2018,5692,5692,65852.8754392128,67465.043955198,65250.5753525353,1548.13307772647,4143.86692227353,84769.9194684505,81987.436657978,0.0328239407082177,2214.46860266272,0.728015973695279,FALSE
"ADMIN FOR CHILDREN'S SVCS",2019,6130,6130,67828.647145187,67049.3982080243,68158.1571753148,1821.76338074357,4308.23661925645,82780.1630719927,84149.0530333183,-0.0165364491989989,-1108.75896729044,0.702811846534492,FALSE
"ADMIN FOR CHILDREN'S SVCS",2020,6075,6075,70555.4174485602,69451.3462376482,71026.1439202606,1815.89250934175,4259.10749065826,84255.9275394427,86166.4166317847,-0.0226748330726913,-1574.79768261236,0.701087652783251,FALSE
"ADMIN FOR CHILDREN'S SVCS",2021,5850,5850,71193.1208547008,70090.5866864959,71663.5249456077,1749.50537051627,4100.49462948374,83311.9034139788,85181.5479199577,-0.0224415051074872,-1572.93825911178,0.700939252903202,FALSE
"ADMIN FOR CHILDREN'S SVCS",2022,5330,5330,71639.3174484052,71116.0214897727,71859.7207432482,1579.60298605278,3750.39701394724,80469.0736889555,81310.5829406928,-0.0104575486352598,-743.699253475483,0.703639214624245,FALSE
"ADMIN FOR CHILDREN'S SVCS",2023,5253,5253,76815.1393489434,75557.4204732627,77355.1968218065,1578.01714726564,3674.98285273438,81199.6855060219,83131.7111521804,-0.0237935114418033,-1797.77634854372,0.699596964160359,FALSE
"ADMIN FOR CHILDREN'S SVCS",2024,5408,5408,81646.3637204145,80311.8834473972,82206.9421296492,1599.74362036244,3808.25637963758,83447.3057296039,85416.3485965543,-0.0235962425597109,-1895.05868225201,0.70418941931168,FALSE
"ADMIN FOR CHILDREN'S SVCS",2025,5387,5387,83972.6602932985,82124.2005042209,84758.660779407,1607.23039119226,3779.76960880776,82124.2005042209,84758.660779407,-0.032078976221518,-2634.46027518608,0.701646483907137,FALSE
"ADMIN TRIALS AND HEARINGS",2014,217,217,65323.3917050691,71813.5231745958,61756.1234370274,76.9679275323512,140.032072467649,94452.2609009988,81224.3324829917,0.140048827755136,10057.3997375684,0.645309089712668,FALSE
"ADMIN TRIALS AND HEARINGS",2015,219,219,69642.9817351598,78896.318072893,64363.7270823853,79.5561348773103,139.44386512269,103267.738519009,84245.9661084778,0.184198595643981,14532.5909905077,0.636729977729176,FALSE
"ADMIN TRIALS AND HEARINGS",2016,213,213,72101.8591549296,80926.3595534877,67073.9064337529,77.3115000176337,135.688499982366,105316.803802051,87289.3514930915,0.17117356070588,13852.4531197348,0.637035211184818,FALSE
"ADMIN TRIALS AND HEARINGS",2017,243,243,73063.695473251,78903.0963129071,69494.470827761,92.1836659587907,150.816334041209,100904.012194963,88871.9360781261,0.119242791788984,9408.62548514613,0.620643349963824,FALSE
"ADMIN TRIALS AND HEARINGS",2018,257,257,71936.3501945526,78043.6790728374,68061.5682049679,99.760359758034,157.239640241966,98061.9888785576,85519.4529994383,0.127904155550551,9982.11086786949,0.611827393937611,FALSE
"ADMIN TRIALS AND HEARINGS",2019,271,271,75299.3136531365,82696.426881616,70533.3184725082,106.188701975487,164.811298024513,102098.21244767,87081.4617462782,0.147081426220747,12163.1084091078,0.608159771308166,FALSE
"ADMIN TRIALS AND HEARINGS",2020,266,266,78045.0789473684,82825.7481493341,74993.1401803015,103.645645901011,162.354354098989,100481.280961657,90979.0367974402,0.094567307196676,7832.6079690326,0.610354714657853,FALSE
"ADMIN TRIALS AND HEARINGS",2021,246,246,80025.1910569106,82840.3028641094,78327.7866790263,92.5340674322346,153.465932567765,98466.6220853467,93102.9016438671,0.0544724732897875,4512.51618508311,0.62384525434051,FALSE
"ADMIN TRIALS AND HEARINGS",2022,275,275,88286.4258545455,95190.937370116,83714.576446697,109.552025729056,165.447974270944,107710.279530445,94724.5681044983,0.120561486633935,11476.3609234189,0.601628997348888,FALSE
"ADMIN TRIALS AND HEARINGS",2023,331,331,96416.0102719033,102137.912506651,92473.2460778285,135.033625614512,195.966374385488,109765.080938893,99378.7036694532,0.0946236925313433,9664.6664288226,0.59204342714649,FALSE
"ADMIN TRIALS AND HEARINGS",2024,361,361,104356.102354571,109775.05482247,100841.10411482,142.032836991537,218.967163008463,114060.736319981,104777.999020429,0.0813841607467014,8933.95070764983,0.606557238250591,FALSE
"ADMIN TRIALS AND HEARINGS",2025,397,397,107690.191309824,114308.328158946,103807.123095433,146.800112157552,250.199887842448,114308.328158946,103807.123095433,0.0918673663821816,10501.2050635125,0.630226417739165,FALSE
"BOARD OF CORRECTION",2015,15,15,,,,4.61863721539776,10.3813627846022,,,,,,TRUE
"BOARD OF CORRECTION",2016,16,16,,,,4.59521926513527,11.4047807348647,,,,,,TRUE
"BOARD OF CORRECTION",2017,18,18,,,,3.00852621749111,14.9914737825089,,,,,,TRUE
"BOARD OF CORRECTION",2018,24,24,,,,5.6528941314168,18.3471058685832,,,,,,TRUE
"BOARD OF CORRECTION",2019,25,25,,,,5.68963917757372,19.3103608224263,,,,,,TRUE
"BOARD OF CORRECTION",2020,23,23,,,,5.68104236976301,17.318957630237,,,,,,TRUE
"BOARD OF CORRECTION",2021,19,19,,,,5.52794238308566,13.4720576169143,,,,,,TRUE
"BOARD OF CORRECTION",2022,17,17,,,,4.61530527966561,12.3846947203344,,,,,,TRUE
"BOARD OF CORRECTION",2023,22,22,,,,6.61179147529616,15.3882085247038,,,,,,TRUE
"BOARD OF CORRECTION",2024,17,17,,,,3.15315890000484,13.8468410999952,,,,,,TRUE
"BOARD OF CORRECTION",2025,20,20,,,,5.14898371898143,14.8510162810186,,,,,,TRUE
"BOARD OF CORRECTIONS",2014,15,15,,,,4.60522508113014,10.3947749188699,,,,,,TRUE
"BOARD OF ELECTION",2014,340,340,46704.2582647059,47744.0814415817,45409.3204330255,188.575559193355,151.424440806645,62795.0870177341,59724.3080589372,0.0489015797992237,2334.76100855614,0.445366002372486,FALSE
"BOARD OF ELECTION",2015,344,344,50683.8808139535,52280.5899772233,48766.2482917541,187.706730499235,156.293269500765,68430.2946862404,63830.3573620907,0.0672207732736047,3514.34168546922,0.454340899711526,FALSE
"BOARD OF ELECTION",2016,443,443,48912.1693002257,51009.4353637691,46510.5973023814,236.482482927348,206.517517072652,66383.1998115373,60528.4542371339,0.088196194082617,4498.83806138769,0.466179496777995,FALSE
"BOARD OF ELECTION",2017,483,483,52176.2795031056,54623.8650352205,49489.51374259,252.750111623971,230.249888376029,69854.8903808772,63288.9041312339,0.0939946539725815,5134.35129263054,0.476707843428632,FALSE
"BOARD OF ELECTION",2018,505,505,53020.2079207921,55354.3271014905,50506.4331913693,261.857264596531,243.142735403469,69552.7872736542,63461.4019834368,0.0875793124760186,4847.89391012118,0.481470763175187,FALSE
"BOARD OF ELECTION",2019,506,506,54803.4031620554,56721.7513183195,52680.2391265325,265.821541787692,240.178458212308,70029.4998814409,65039.7900967894,0.0712515410376916,4041.51219178698,0.474660984609304,FALSE
"BOARD OF ELECTION",2020,633,633,56840.4139020538,58762.3896222434,54615.7619308977,339.602395623986,293.397604376014,71288.461783227,66257.919090799,0.070566015405475,4146.62769134576,0.46350332444868,FALSE
"BOARD OF ELECTION",2021,665,665,55504.6631578947,57576.1020263294,53133.2957444606,354.946677816974,310.053322183026,68436.7884153424,63155.9273847786,0.0771640685199064,4442.8062818688,0.466245597267708,FALSE
"BOARD OF ELECTION",2022,653,653,55692.6539050536,58130.14426116,52861.477550967,350.896775391369,302.103224608631,65775.3170679491,59813.724716976,0.0906357067775815,5268.66671019301,0.46263893508213,FALSE
"BOARD OF ELECTION",2023,640,640,57852.34375,59960.9080577574,55532.3430499309,335.278006627469,304.721993372531,64438.5005000046,59679.2315410314,0.0738575373735279,4428.56500782649,0.47612811464458,FALSE
"BOARD OF ELECTION",2024,642,642,64757.9485981309,67489.4785842126,61641.9041767872,342.107749148484,299.892250851516,70124.3067800431,64048.4396927939,0.0866442374440465,5847.57440742541,0.467121886061551,FALSE
"BOARD OF ELECTION",2025,649,649,67400.3312788906,70303.748064356,63918.421013357,353.898828404998,295.101171595002,70303.748064356,63918.421013357,0.0908248454286377,6385.32705099903,0.454701342981513,FALSE
"BOROUGH PRESIDENT-BRONX",2014,50,50,74012.8,78290.9718287254,71079.913091502,20.3360353546871,29.663964645313,102971.682358225,93487.3850962076,0.0921058784785401,7211.05873722339,0.593279292906259,FALSE
"BOROUGH PRESIDENT-BRONX",2015,50,50,76625.68,79308.5333662782,74671.8951262098,21.0689811521871,28.9310188478129,103807.288933662,97738.3727018523,0.0584632957295349,4636.63824006841,0.578620376956258,FALSE
"BOROUGH PRESIDENT-BRONX",2016,49,49,78105.4693877551,82158.4736888067,74785.7248146128,22.0633425686506,26.9366574313494,106920.265558728,97325.4394606626,0.0897381431660933,7372.74887419384,0.5497277026806,FALSE
"BOROUGH PRESIDENT-BRONX",2017,45,45,80979.5555555556,84108.223722522,78671.2911838659,19.1048713566915,25.8951286433085,107560.509394177,100607.5717679,0.0646421039230703,5436.93253865611,0.575447303184634,FALSE
"BOROUGH PRESIDENT-BRONX",2018,44,44,76190.3863636364,81360.5161932591,72159.3305761469,19.2764782746773,24.7235217253227,102229.599230592,90668.2969909484,0.113091534415246,9201.18561711216,0.561898221030062,FALSE
"BOROUGH PRESIDENT-BRONX",2019,49,49,78082.6530612245,79355.05649513,76936.2957520095,23.2232593948368,25.7767406051632,97972.9079278733,94986.6707042902,0.0304802346561109,2418.7607431205,0.526055930717617,FALSE
"BOROUGH PRESIDENT-BRONX",2020,46,46,81099.6956521739,83390.8135936464,79281.4535395819,20.3533241377833,25.6466758622166,101166.798460023,96181.4675527721,0.0492783302737503,4109.36005406445,0.557536431787318,FALSE
"BOROUGH PRESIDENT-BRONX",2021,42,42,83181.3095238095,86888.0601271019,80561.241565169,17.3930788730068,24.6069211269932,103277.915271492,95757.6572472988,0.0728157419175656,6326.81856193297,0.58587907445222,FALSE
"BOROUGH PRESIDENT-BRONX",2022,48,48,81819.6458333333,77667.9076382896,84804.3949161927,20.0754167138859,27.9245832861141,87882.6522081427,95957.7175536987,-0.0918846341417977,-7136.48727790317,0.581762151794044,FALSE
"BOROUGH PRESIDENT-BRONX",2023,49,49,87036.4897959184,83999.2070270013,89631.9595501597,22.5783073967741,26.4216926032259,90271.8641084546,96325.243519092,-0.0670572106870941,-5632.75252315846,0.539218216392365,FALSE
"BOROUGH PRESIDENT-BRONX",2024,52,52,92438.5961538462,90167.838291106,94327.4605011044,23.6129487484075,28.3870512515925,93688.0427388265,98010.0590006509,-0.0461319943877233,-4159.62220999844,0.545904831761395,FALSE
"BOROUGH PRESIDENT-BRONX",2025,52,52,92029.0192307692,91488.4012213145,92598.8076713553,26.6830212571161,25.3169787428839,91488.4012213145,92598.8076713553,-0.0121371281519575,-1110.4064500408,0.48686497582469,FALSE
"BOROUGH PRESIDENT-BROOKLYN",2014,54,54,67382.537037037,62740.5718075758,71336.5485244968,24.8391343246106,29.1608656753894,82519.1216846374,93824.9231503528,-0.137008262265838,-8595.97671692097,0.54001603102573,FALSE
"BOROUGH PRESIDENT-BROOKLYN",2015,55,55,69449.2545454545,65922.0875445106,72592.577174695,25.9175494143515,29.0824505856485,86285.7109869705,95016.7442689953,-0.10118747567999,-6670.48963018437,0.528771828829972,FALSE
"BOROUGH PRESIDENT-BROOKLYN",2016,60,60,71061.7,69885.4395378017,72018.9822879671,26.9209216799487,33.0790783200513,90948.2542527836,93724.826737475,-0.0305291454740204,-2133.5427501654,0.551317972000856,FALSE
