"title","fiscal_year","n","n_matched","mean_salary","male_mean","female_mean","male_n","female_n","real_male_mean","real_female_mean","gap","gap_dollars","female_share","suppressed"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2014,190,190,116904.4,117102.65015145,116806.767282015,62.6944589680963,127.305541031904,154018.48531247,153629.32732739,0.00252669661235361,295.8828694353,0.670029163325809,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2015,186,186,119016.741935484,118944.770590553,119048.708588476,57.2052336520194,128.794766347981,155687.334562308,155823.379465972,-0.000873834111465112,-103.937997922418,0.692444980365487,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2016,188,188,121584.29787234,122099.266454287,121369.405680819,55.3526555676116,132.647344432388,158898.837912526,157949.003960941,0.00597760162417679,729.860773467939,0.705570981023343,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2017,198,198,126468.328282828,127202.766716298,126162.76850772,58.1739804669462,139.826019533054,162671.3034565,161341.317729388,0.00817590871193653,1039.99820857821,0.706192017843706,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2018,199,199,131796.386934673,133088.066789997,131257.071412901,58.6149971623116,140.385002837688,167225.336894346,164924.688713243,0.0137577727384472,1830.99537709606,0.705452275566273,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2019,215,215,138906.948837209,139420.986032059,138691.535863283,63.4913683984606,151.508631601539,172131.178919525,171230.58912248,0.00523199691478201,729.450168775598,0.704691309774602,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2020,220,220,145501.159090909,145439.737239964,145526.586692236,64.4111407220028,155.588859277997,176442.367586581,176547.730283689,-0.00059715077818211,-86.8494522714464,0.70722208762726,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2021,218,218,146313.766055046,146157.893055963,146377.547569584,63.3010901530035,154.698909846996,173727.926175499,173989.014525424,-0.00150285769059712,-219.654513620626,0.709628026821085,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2022,231,231,149775.761904762,149682.087821607,149817.984053668,71.7703224681131,159.229677531887,169368.00881874,169521.777880657,-0.000907899094933744,-135.89623206103,0.689305963341502,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2023,249,249,148769.257028112,149213.915891641,148586.668960772,72.4825049438161,176.517495056184,160356.494009887,159682.407292763,0.00420367582420874,627.246930869209,0.708905602635277,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2024,253,253,153479.272727273,154156.296728975,153210.246097528,71.9451317541135,181.054868245886,160174.647525381,159191.662531264,0.00613695743554541,946.050631447026,0.715631890299947,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2025,255,255,162743.615686275,163132.183363209,162587.849617661,72.9705770057881,182.029422994212,163132.183363209,162587.849617661,0.00333676491250792,544.333745547163,0.713840874487106,FALSE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2014,19,19,,,,1.13340293841002,17.86659706159,,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2015,16,16,,,,1.03941948564023,14.9605805143598,,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2016,19,19,,,,1.04774438628927,17.9522556137107,,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2017,19,19,,,,2.03991738516236,16.9600826148376,,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2018,20,20,,,,3.03991738516236,16.9600826148376,,,,,,TRUE
