"fiscal_year","overall_male","overall_female","counterfactual_female","n_titles","total_gap","within_gap","between_gap","within_share","between_share"
2014,69483.5822096341,62912.9337183629,69344.7521638373,1132,0.0945640435095491,0.00199802660401071,0.0925660169055384,0.0211288194736401,0.97887118052636
2015,71186.883574093,65567.5811166243,70879.7852331906,1142,0.078937329116537,0.00431397366317868,0.0746233554533584,0.0546506160198284,0.945349383980172
2016,72578.44300962,67463.8372702892,72061.4918613175,1135,0.0704700394117416,0.00712265414999297,0.0633473852617486,0.101073508819497,0.898926491180503
2017,75078.9550914832,70155.9835346048,74415.4075036447,1152,0.0655705923301647,0.00883799710624545,0.0567325952239192,0.13478598853803,0.865214011461969
2018,76864.1625200623,72826.7480201445,76097.5433782349,1166,0.0525266179653492,0.00997368756378835,0.0425529304015608,0.189878731015345,0.810121268984655
2019,78563.1390100142,75155.158316786,77664.6026358205,1195,0.0433788763556642,0.0114371241464677,0.0319417522091965,0.263656533025303,0.736343466974697
2020,80216.7503777931,77496.2860032834,79382.1420475001,1213,0.0339139189969344,0.0104044146186721,0.0235095043782624,0.306788921080237,0.693211078919763
2021,82339.3941270485,80360.0701798523,81547.1422998356,1199,0.0240386022775703,0.00962178354130784,0.0144168187362625,0.40026385187485,0.59973614812515
2022,84011.5086555134,81462.487568012,83108.6740174062,1196,0.0303413321376437,0.0107465590435866,0.0195947730940571,0.354188767811339,0.645811232188661
2023,87018.9859328337,83402.1778554095,86041.3942823606,1218,0.0415634362852255,0.0112342340007009,0.0303292022845246,0.270291270519766,0.729708729480234
2024,92983.3798152505,88860.3707262328,92202.838919738,1225,0.0443413553821096,0.00839441303449446,0.0359469423476151,0.189313406461214,0.810686593538786
2025,95415.6411122964,92048.9036470346,94783.8064251376,1219,0.0352849640374943,0.0066219194232029,0.0286630446142914,0.187669722892911,0.812330277107089
