"agency","fiscal_year","n","n_salaried","n_hourly","n_daily"
"ADMIN FOR CHILDREN'S SVCS",2014,5888,5801,78,9
"ADMIN FOR CHILDREN'S SVCS",2015,5931,5864,58,9
"ADMIN FOR CHILDREN'S SVCS",2016,5861,5818,33,10
"ADMIN FOR CHILDREN'S SVCS",2017,6244,6212,21,11
"ADMIN FOR CHILDREN'S SVCS",2018,6560,6502,42,16
"ADMIN FOR CHILDREN'S SVCS",2019,7049,7017,14,18
"ADMIN FOR CHILDREN'S SVCS",2020,7042,6994,31,17
"ADMIN FOR CHILDREN'S SVCS",2021,6785,6742,26,17
"ADMIN FOR CHILDREN'S SVCS",2022,6235,6188,22,25
"ADMIN FOR CHILDREN'S SVCS",2023,6139,6089,25,25
"ADMIN FOR CHILDREN'S SVCS",2024,6440,6354,62,24
"ADMIN FOR CHILDREN'S SVCS",2025,6446,6341,82,23
"ADMIN TRIALS AND HEARINGS",2014,565,236,328,1
"ADMIN TRIALS AND HEARINGS",2015,584,238,345,1
"ADMIN TRIALS AND HEARINGS",2016,595,234,359,2
"ADMIN TRIALS AND HEARINGS",2017,607,267,337,3
"ADMIN TRIALS AND HEARINGS",2018,639,284,352,3
"ADMIN TRIALS AND HEARINGS",2019,685,302,380,3
"ADMIN TRIALS AND HEARINGS",2020,663,299,361,3
"ADMIN TRIALS AND HEARINGS",2021,519,278,238,3
"ADMIN TRIALS AND HEARINGS",2022,568,313,252,3
"ADMIN TRIALS AND HEARINGS",2023,583,375,205,3
"ADMIN TRIALS AND HEARINGS",2024,634,413,218,3
"ADMIN TRIALS AND HEARINGS",2025,672,453,216,3
"BOARD OF CORRECTION",2015,16,16,0,0
"BOARD OF CORRECTION",2016,17,17,0,0
"BOARD OF CORRECTION",2017,21,21,0,0
"BOARD OF CORRECTION",2018,28,28,0,0
"BOARD OF CORRECTION",2019,29,29,0,0
"BOARD OF CORRECTION",2020,27,27,0,0
"BOARD OF CORRECTION",2021,23,23,0,0
"BOARD OF CORRECTION",2022,23,23,0,0
"BOARD OF CORRECTION",2023,28,28,0,0
"BOARD OF CORRECTION",2024,24,24,0,0
"BOARD OF CORRECTION",2025,27,27,0,0
"BOARD OF CORRECTIONS",2014,16,16,0,0
"BOARD OF ELECTION",2014,655,365,290,0
"BOARD OF ELECTION",2015,677,367,310,0
"BOARD OF ELECTION",2016,779,469,310,0
"BOARD OF ELECTION",2017,730,511,219,0
"BOARD OF ELECTION",2018,745,536,209,0
"BOARD OF ELECTION",2019,815,540,275,0
"BOARD OF ELECTION",2020,904,681,223,0
"BOARD OF ELECTION",2021,921,717,204,0
