"pay_basis","title","fiscal_year","n","median_rate","real_median_rate","median_hours","median_gross","real_median_gross","pct_substantial","suppressed"
"per Day","ADJUNCT ASSISTANT PROFESSOR",2014,146,112.51,147.978032607244,70,6934.275,9120.25928413113,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2015,131,130.94,171.387943214106,160.72,14317.2,18739.846193562,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2016,124,130.94,170.404085466443,183.57,17647.28,22966.0043483294,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2017,232,121.8,155.762058267111,30.72,7508.745,9602.44315437504,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2018,139,144.57,181.652401585809,185.72,24981.72,31389.5651500605,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2019,152,144.57,178.488226519023,185.72,25150.395,31051.0437836543,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2020,146,189.045,229.342736815944,190,29725.42,36061.8327689354,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2021,200,188.01,223.474673295607,200,30469.04,36216.4712495654,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2022,177,178.26,201.704436993232,200,32357.2,36612.7611840985,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2023,163,212.82,228.712374789274,190,31622.08,33983.4649590095,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2024,140,199.52,207.309375954003,200,34420.03,35763.8078368989,0,FALSE
"per Day","ADJUNCT ASSISTANT PROFESSOR",2025,157,229.86,229.86,210,34500,34500,0,FALSE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2014,22,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2015,14,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2016,11,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2017,21,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2018,10,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2019,13,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2020,15,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2021,20,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2022,18,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2023,15,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2024,11,,,,,,,TRUE
"per Day","ADJUNCT ASSOCIATE PROFESSOR",2025,14,,,,,,,TRUE
"per Day","ADJUNCT COLLEGE LAB TECH",2017,1,,,,,,,TRUE
"per Day","ADJUNCT LECTURER",2014,667,109.92,144.571552254806,80,6052.5,7960.51055333163,0,FALSE
"per Day","ADJUNCT LECTURER",2015,422,129.68,169.738723659732,180.72,14026.655,18359.5505622717,0,FALSE
"per Day","ADJUNCT LECTURER",2016,360,129.68,168.764333307532,183.57,14531.72,18911.4438433971,0,FALSE
"per Day","ADJUNCT LECTURER",2017,890,100.025,127.915434139309,0,226.395,289.521766678018,0,FALSE
"per Day","ADJUNCT LECTURER",2018,342,148.88,187.067922446533,185.72,23788.75,29890.5967228638,0,FALSE
"per Day","ADJUNCT LECTURER",2019,387,161.08,198.871712856639,190.72,21821,26940.5242503397,0,FALSE
"per Day","ADJUNCT LECTURER",2020,333,189.46,229.846200201797,200,27381.8,33218.6355150721,0,FALSE
"per Day","ADJUNCT LECTURER",2021,429,161.18,191.583680877538,200,31577.76,37534.3311494447,0,FALSE
"per Day","ADJUNCT LECTURER",2022,382,175.47,198.54750117358,200,28573.22,32331.1188891717,0,FALSE
"per Day","ADJUNCT LECTURER",2023,341,189.07,203.188838931529,200,32705.46,35147.7465706963,0,FALSE
"per Day","ADJUNCT LECTURER",2024,315,177.12,184.034867025727,200,30996.01,32206.112119908,0,FALSE
"per Day","ADJUNCT LECTURER",2025,333,195.73,195.73,210,35424,35424,0,FALSE
"per Day","ADJUNCT PROFESSOR",2014,24,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2015,16,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2016,10,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2017,19,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2018,11,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2019,12,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2020,7,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2021,10,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2022,7,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2023,9,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2024,12,,,,,,,TRUE
"per Day","ADJUNCT PROFESSOR",2025,11,,,,,,,TRUE
