"fiscal_year","n_roster","n_placeholder","n_zero_hours","n","p10","median_rate","p90","real_median_rate","n_substantial","median_rate_substantial","real_median_rate_substantial","median_gross","real_median_gross","median_hours","pct_substantial","cpi","rent","zori","deflator"
2014,77900,34479,55981,43421,7.25,14.14,43.98,18.5975413835786,5017,17.53,23.0562164394719,26884.45,35359.5948691477,1372,0.064403080872914,258.86375,343.49825,,1.31524337931956
2015,81815,33947,56971,47868,8.75,14.78,43.86,19.3456071536925,5393,17.85,23.3639436869696,27054.94,35412.3302304953,1347,0.0659170078836399,260.117416666667,353.506833333333,,1.30890440823359
2016,80838,30437,50743,50401,9,15.15,44.12,19.7160676249932,5686,18.2,23.685308962038,27245.655,35457.2393707745,1290.54,0.070338207278755,261.61925,366.310583333333,2372.91657389711,1.30139060230978
2017,92434,39846,65667,51800,11.5,15.81,53.44,20.2183755435388,5821,19.29,24.6687200654563,31844.82,40724.2586892091,1372,0.0629746630027912,266.233666666667,376.559666666667,2422.88364695952,1.2788346327349
2018,81425,33707,54438,46887,13.37,15.48,49.94,19.450641049653,5472,19.79,24.8661619103767,31489.93,39567.139864903,1352,0.0672029474976973,270.96575,385.17975,2461.24206881113,1.2565013597967
2019,83889,37824,58444,45273,15,16.31,50,20.1365634261968,5827,20.64,25.4824444584121,32260.41,39829.1718038083,1363.83,0.0694608351512117,275.769333333333,394.159916666667,2526.30899837907,1.23461455709361
2020,70541,31763,51164,37987,15,16.67,38.12,20.2234569690909,6459,19.3,23.4140803541364,28859.17,35010.9287737659,1322.5,0.091563771423711,280.645166666667,405.10725,2591.5027950159,1.21316478518841
2021,80757,44421,62162,35558,15,16.98,54.93,20.182968738681,6933,18.1,21.5142364057789,29405.55,34952.3731680637,1367,0.0858501430216576,286.437583333333,409.2355,2420.96398165196,1.18863184562314
2022,71905,36377,56030,34732,14.37,16.86,56.88,19.0773971037018,6159,19.59,22.1664418304578,33778.65,38221.1577507092,1544,0.0856546832626382,300.895583333333,412.090416666667,2785.28265081301,1.13151821492893
2023,68003,30401,51093,36782,14.37,16.88,47.42,18.140517274894,4968,24.55,26.383276012953,36676.33,39415.1420583361,1421,0.0730556004882138,316.810916666667,430.928666666667,3070.38868639756,1.07467519401031
2024,67046,30920,50428,35346,15,18.06,49.475,18.7650728234227,5315,23.04,23.9394948976556,36949.5,38392.0298055957,1458,0.0792739313307282,327.676166666667,453.080083333333,3193.88826338303,1.03904057715519
2025,73903,37054,57100,36041,16.17,19.05,52.03,19.05,4596,25.48,25.48,38396.4,38396.4,1390.325,0.0621896269434258,340.468833333333,476.876583333333,3319.17792175915,1
