"agency","fiscal_year","n","n_common","n_uncommon","common_mean","uncommon_mean","common_median","uncommon_median","gap","gap_dollars","uncommon_share","suppressed"
"ADMIN FOR CHILDREN'S SVCS",2014,5801,5161,640,58287.1280759541,56205.7703125,50200,49561,0.0357087033133955,2081.35776345413,0.110325805895535,FALSE
"ADMIN FOR CHILDREN'S SVCS",2015,5864,5216,648,60698.9311733128,59157.0509259259,52141.5,51830,0.0254020988110056,1541.88024738692,0.110504774897681,FALSE
"ADMIN FOR CHILDREN'S SVCS",2016,5818,5163,655,63096.9343404997,61316.6427480916,54179,53126,0.0282151836854839,1780.29159240812,0.112581643176349,FALSE
"ADMIN FOR CHILDREN'S SVCS",2017,6212,5456,756,65137.043255132,62523.0383597884,56826,54720,0.0401308497394477,2614.00489534361,0.1216999356085,FALSE
"ADMIN FOR CHILDREN'S SVCS",2018,6502,5692,810,65852.8754392128,62766.4679012346,57944,54720,0.0468682273536747,3086.40753797824,0.124577053214396,FALSE
"ADMIN FOR CHILDREN'S SVCS",2019,7017,6130,887,67828.647145187,65180.579481398,58248,57070,0.0390405496090873,2648.06766378895,0.126407296565484,FALSE
"ADMIN FOR CHILDREN'S SVCS",2020,6994,6075,919,70555.4174485602,67886.945593036,60351,60327,0.0378209349759676,2668.47185552424,0.131398341435516,FALSE
"ADMIN FOR CHILDREN'S SVCS",2021,6742,5850,892,71193.1208547008,68321.3957399103,60351,60327,0.0403371151638575,2871.72511479049,0.132304954019579,FALSE
"ADMIN FOR CHILDREN'S SVCS",2022,6188,5330,858,71639.3174484052,69162.5128205128,60351,60327,0.0345732583183278,2476.8046278924,0.138655462184874,FALSE
"ADMIN FOR CHILDREN'S SVCS",2023,6089,5253,836,76815.1393489434,74856.2141148325,66021,65921,0.0255018118916926,1958.92523411091,0.137296764657579,FALSE
"ADMIN FOR CHILDREN'S SVCS",2024,6354,5408,946,81646.3637204145,77808.0782241015,68027,67899,0.0470111015532385,3838.28549631305,0.1488825936418,FALSE
"ADMIN FOR CHILDREN'S SVCS",2025,6341,5387,954,83972.6602932985,79714.9842767295,70236,70106,0.0507031217267366,4257.67601656902,0.150449455921779,FALSE
"ADMIN TRIALS AND HEARINGS",2014,236,217,19,,,,,,,0.0805084745762712,TRUE
"ADMIN TRIALS AND HEARINGS",2015,238,219,19,,,,,,,0.0798319327731092,TRUE
"ADMIN TRIALS AND HEARINGS",2016,234,213,21,,,,,,,0.0897435897435897,TRUE
"ADMIN TRIALS AND HEARINGS",2017,267,243,24,,,,,,,0.0898876404494382,TRUE
"ADMIN TRIALS AND HEARINGS",2018,284,257,27,,,,,,,0.0950704225352113,TRUE
"ADMIN TRIALS AND HEARINGS",2019,302,271,31,75299.3136531365,60197.6774193548,63929,57362,0.200554766054666,15101.6362337817,0.102649006622517,FALSE
"ADMIN TRIALS AND HEARINGS",2020,299,266,33,78045.0789473684,60771.9696969697,67792,53712,0.221322208694891,17273.1092503987,0.110367892976589,FALSE
"ADMIN TRIALS AND HEARINGS",2021,278,246,32,80025.1910569106,61418.65625,71230,56730,0.232508470909846,18606.5348069106,0.115107913669065,FALSE
"ADMIN TRIALS AND HEARINGS",2022,313,275,38,88286.4258545455,66497.8684210526,76737,53996.5,0.246793968864366,21788.5574334928,0.121405750798722,FALSE
"ADMIN TRIALS AND HEARINGS",2023,375,331,44,96416.0102719033,76442.4136363636,91563,61000,0.207160580273048,19973.5966355397,0.117333333333333,FALSE
"ADMIN TRIALS AND HEARINGS",2024,413,361,52,104356.102354571,84143.75,92446,66717,0.193686347980832,20212.3523545707,0.12590799031477,FALSE
"ADMIN TRIALS AND HEARINGS",2025,453,397,56,107690.191309824,85096.4821428571,96725,65251,0.209802851050424,22593.7091669666,0.123620309050773,FALSE
"BOARD OF CORRECTION",2015,16,15,1,,,,,,,0.0625,TRUE
"BOARD OF CORRECTION",2016,17,16,1,,,,,,,0.0588235294117647,TRUE
"BOARD OF CORRECTION",2017,21,18,3,,,,,,,0.142857142857143,TRUE
"BOARD OF CORRECTION",2018,28,24,4,,,,,,,0.142857142857143,TRUE
"BOARD OF CORRECTION",2019,29,25,4,,,,,,,0.137931034482759,TRUE
"BOARD OF CORRECTION",2020,27,23,4,,,,,,,0.148148148148148,TRUE
"BOARD OF CORRECTION",2021,23,19,4,,,,,,,0.173913043478261,TRUE
"BOARD OF CORRECTION",2022,23,17,6,,,,,,,0.260869565217391,TRUE
"BOARD OF CORRECTION",2023,28,22,6,,,,,,,0.214285714285714,TRUE
"BOARD OF CORRECTION",2024,24,17,7,,,,,,,0.291666666666667,TRUE
"BOARD OF CORRECTION",2025,27,20,7,,,,,,,0.259259259259259,TRUE
"BOARD OF CORRECTIONS",2014,16,15,1,,,,,,,0.0625,TRUE
"BOARD OF ELECTION",2014,365,340,25,,,,,,,0.0684931506849315,TRUE
"BOARD OF ELECTION",2015,367,344,23,,,,,,,0.0626702997275204,TRUE
"BOARD OF ELECTION",2016,469,443,26,,,,,,,0.0554371002132196,TRUE
"BOARD OF ELECTION",2017,511,483,28,,,,,,,0.0547945205479452,TRUE
"BOARD OF ELECTION",2018,536,505,31,53020.2079207921,52630.9677419355,44855,47098,0.00734135519494956,389.240178856613,0.0578358208955224,FALSE
"BOARD OF ELECTION",2019,540,506,34,54803.4031620554,56226.8235294118,46634,49936,-0.0259732112465221,-1423.42036735638,0.062962962962963,FALSE
"BOARD OF ELECTION",2020,681,633,48,56840.4139020538,54534.6041666667,50000,45000,0.0405663783406022,2305.80973538714,0.0704845814977974,FALSE
"BOARD OF ELECTION",2021,717,665,52,55504.6631578947,56723.1538461538,50000,45000,-0.0219529426706519,-1218.49068825911,0.0725244072524407,FALSE
"BOARD OF ELECTION",2022,704,653,51,55692.6539050536,57425.3921568627,50000,45000,-0.0311125100046977,-1732.73825180915,0.0724431818181818,FALSE
"BOARD OF ELECTION",2023,691,640,51,57852.34375,57998.9803921569,50230,48186,-0.00253467072640182,-146.63664215686,0.0738060781476122,FALSE
"BOARD OF ELECTION",2024,693,642,51,64757.9485981309,64645.7254901961,56767,52708,0.00173296267661631,112.223107934798,0.0735930735930736,FALSE
"BOARD OF ELECTION",2025,699,649,50,67400.3312788906,64454.1,58796,53825,0.0437124153989633,2946.23127889061,0.0715307582260372,FALSE
"BOROUGH PRESIDENT-BRONX",2014,55,50,5,,,,,,,0.0909090909090909,TRUE
"BOROUGH PRESIDENT-BRONX",2015,56,50,6,,,,,,,0.107142857142857,TRUE
"BOROUGH PRESIDENT-BRONX",2016,55,49,6,,,,,,,0.109090909090909,TRUE
"BOROUGH PRESIDENT-BRONX",2017,51,45,6,,,,,,,0.117647058823529,TRUE
"BOROUGH PRESIDENT-BRONX",2018,50,44,6,,,,,,,0.12,TRUE
"BOROUGH PRESIDENT-BRONX",2019,53,49,4,,,,,,,0.0754716981132075,TRUE
"BOROUGH PRESIDENT-BRONX",2020,51,46,5,,,,,,,0.0980392156862745,TRUE
"BOROUGH PRESIDENT-BRONX",2021,48,42,6,,,,,,,0.125,TRUE
"BOROUGH PRESIDENT-BRONX",2022,52,48,4,,,,,,,0.0769230769230769,TRUE
"BOROUGH PRESIDENT-BRONX",2023,52,49,3,,,,,,,0.0576923076923077,TRUE
"BOROUGH PRESIDENT-BRONX",2024,56,52,4,,,,,,,0.0714285714285714,TRUE
"BOROUGH PRESIDENT-BRONX",2025,55,52,3,,,,,,,0.0545454545454545,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2014,57,54,3,,,,,,,0.0526315789473684,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2015,59,55,4,,,,,,,0.0677966101694915,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2016,64,60,4,,,,,,,0.0625,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2017,61,57,4,,,,,,,0.0655737704918033,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2018,59,56,3,,,,,,,0.0508474576271186,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2019,60,56,4,,,,,,,0.0666666666666667,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2020,63,58,5,,,,,,,0.0793650793650794,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2021,63,58,5,,,,,,,0.0793650793650794,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2022,46,43,3,,,,,,,0.0652173913043478,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2023,51,47,4,,,,,,,0.0784313725490196,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2024,54,50,4,,,,,,,0.0740740740740741,TRUE
"BOROUGH PRESIDENT-BROOKLYN",2025,60,56,4,,,,,,,0.0666666666666667,TRUE
"BOROUGH PRESIDENT-QUEENS",2014,53,50,3,,,,,,,0.0566037735849057,TRUE
"BOROUGH PRESIDENT-QUEENS",2015,57,52,5,,,,,,,0.087719298245614,TRUE
"BOROUGH PRESIDENT-QUEENS",2016,56,51,5,,,,,,,0.0892857142857143,TRUE
"BOROUGH PRESIDENT-QUEENS",2017,55,51,4,,,,,,,0.0727272727272727,TRUE
"BOROUGH PRESIDENT-QUEENS",2018,55,51,4,,,,,,,0.0727272727272727,TRUE
"BOROUGH PRESIDENT-QUEENS",2019,58,53,5,,,,,,,0.0862068965517241,TRUE
"BOROUGH PRESIDENT-QUEENS",2020,54,50,4,,,,,,,0.0740740740740741,TRUE
"BOROUGH PRESIDENT-QUEENS",2021,67,60,7,,,,,,,0.104477611940299,TRUE
