"title","fiscal_year","n","n_common","n_uncommon","common_mean","uncommon_mean","common_median","uncommon_median","gap","gap_dollars","uncommon_share","suppressed"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2014,199,190,9,,,,,,,0.0452261306532663,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2015,193,186,7,,,,,,,0.0362694300518135,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2016,200,188,12,,,,,,,0.06,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2017,210,198,12,,,,,,,0.0571428571428571,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2018,211,199,12,,,,,,,0.0568720379146919,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2019,227,215,12,,,,,,,0.052863436123348,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2020,231,220,11,,,,,,,0.0476190476190476,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2021,230,218,12,,,,,,,0.0521739130434783,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2022,248,231,17,,,,,,,0.0685483870967742,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2023,264,249,15,,,,,,,0.0568181818181818,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2024,269,253,16,,,,,,,0.0594795539033457,TRUE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2025,273,255,18,,,,,,,0.0659340659340659,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2014,20,19,1,,,,,,,0.05,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2015,17,16,1,,,,,,,0.0588235294117647,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2016,20,19,1,,,,,,,0.05,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2017,20,19,1,,,,,,,0.05,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2018,21,20,1,,,,,,,0.0476190476190476,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2019,20,19,1,,,,,,,0.05,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2020,22,21,1,,,,,,,0.0454545454545455,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2021,21,20,1,,,,,,,0.0476190476190476,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2022,21,20,1,,,,,,,0.0476190476190476,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2023,22,21,1,,,,,,,0.0454545454545455,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2024,20,19,1,,,,,,,0.05,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2025,20,19,1,,,,,,,0.05,TRUE
"ACCOUNTANT",2014,301,251,50,56778.5338645418,53861.44,55008,54312,0.0513767028838967,2917.09386454184,0.166112956810631,FALSE
"ACCOUNTANT",2015,331,275,56,59097.4036363636,57591.4821428571,57147,56893,0.0254820246042057,1505.9214935065,0.169184290030211,FALSE
"ACCOUNTANT",2016,365,300,65,59852.25,60412.6461538462,58689.5,58726,-0.00936299226589062,-560.396153846152,0.178082191780822,FALSE
"ACCOUNTANT",2017,391,317,74,61339.8913564669,60623.2297297297,60336,60057,0.0116834511912058,716.66162673715,0.18925831202046,FALSE
"ACCOUNTANT",2018,436,348,88,61092.2401149425,60044.6363636364,60177,59964,0.0171479020794644,1047.60375130616,0.201834862385321,FALSE
"ACCOUNTANT",2019,420,332,88,64329.1686746988,63332.3295454545,62864,62558,0.0154959118822923,996.839129244254,0.20952380952381,FALSE
"ACCOUNTANT",2020,381,298,83,67466.7248322148,67282.1686746988,65091,64689,0.00273551381032569,184.556157515966,0.217847769028871,FALSE
"ACCOUNTANT",2021,373,289,84,67542.3356401384,67560.4285714286,65054,64684.5,-0.000267875416487745,-18.0929312901571,0.225201072386059,FALSE
"ACCOUNTANT",2022,313,235,78,68407.9676595745,67816.6025641026,65120,65402,0.00864468154374612,591.365095471905,0.249201277955272,FALSE
"ACCOUNTANT",2023,260,197,63,74671.5862944163,73850.746031746,71583,70978,0.0109926720912797,820.840262670215,0.242307692307692,FALSE
"ACCOUNTANT",2024,260,201,59,77772.5422885572,77398.0847457627,74883,73298,0.00481477822089408,374.457542794509,0.226923076923077,FALSE
"ACCOUNTANT",2025,251,195,56,80528.7076923077,80763.125,77317,75342,-0.00291097813947281,-234.417307692303,0.223107569721116,FALSE
"ACTUARIAL SPECIALIST LEVEL I",2014,21,12,9,,,,,,,0.428571428571429,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2015,21,12,9,,,,,,,0.428571428571429,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2016,18,11,7,,,,,,,0.388888888888889,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2017,21,14,7,,,,,,,0.333333333333333,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2018,21,14,7,,,,,,,0.333333333333333,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2019,20,13,7,,,,,,,0.35,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2020,20,15,5,,,,,,,0.25,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2021,19,14,5,,,,,,,0.263157894736842,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2022,17,13,4,,,,,,,0.235294117647059,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2023,16,11,5,,,,,,,0.3125,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2024,21,15,6,,,,,,,0.285714285714286,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2025,19,13,6,,,,,,,0.31578947368421,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2014,2,2,0,,,,,,,0,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2015,2,2,0,,,,,,,0,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2016,2,2,0,,,,,,,0,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2017,2,2,0,,,,,,,0,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2018,1,1,0,,,,,,,0,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2019,1,1,0,,,,,,,0,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2020,3,1,2,,,,,,,0.666666666666667,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2021,3,1,2,,,,,,,0.666666666666667,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2022,2,1,1,,,,,,,0.5,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2024,1,0,1,,,,,,,1,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2025,1,0,1,,,,,,,1,TRUE
"ADM DIR FLEET MAINTENANCE NM",2014,1,1,0,,,,,,,0,TRUE
"ADM DIR FLEET MAINTENANCE NM",2015,1,1,0,,,,,,,0,TRUE
"ADM DIR FLEET MAINTENANCE NM",2016,1,1,0,,,,,,,0,TRUE
"ADM DIR FLEET MAINTENANCE NM",2017,1,1,0,,,,,,,0,TRUE
"ADM MANAGER",2016,5,5,0,,,,,,,0,TRUE
"ADM MANAGER NON MGR",2016,28,27,1,,,,,,,0.0357142857142857,TRUE
"ADM MANAGER NON MGRL",2014,49,49,0,,,,,,,0,TRUE
"ADM MANAGER NON MGRL",2015,1140,1049,91,68258.3020019066,66806.2747252747,65000,64282,0.0212725373184834,1452.02727663187,0.0798245614035088,FALSE
"ADM MANAGER NON MGRL",2016,920,843,77,71529.3579122183,70056.1688311688,68888,66625,0.0205955865402476,1473.18908104944,0.083695652173913,FALSE
"ADM MANAGER NON MGRL",2017,1211,1098,113,74013.3816029144,73167.8584070796,69608.5,66771,0.0114239233166106,845.523195834729,0.0933113129644922,FALSE
"ADM MANAGER NON MGRL",2020,1275,1151,124,82637.3310165074,83119.814516129,77345,77338.5,-0.00583856585984436,-482.483499621638,0.0972549019607843,FALSE
"ADM MANAGER NON MGRL",2021,1228,1107,121,85528.27100271,86122.4958677686,80172,80138,-0.00694770112960356,-594.224865058568,0.0985342019543974,FALSE
"ADM MANAGER NON MGRL",2022,1134,1020,114,87220.6730392157,88241.197368421,82088,81726.5,-0.0117004867498158,-1020.52432920536,0.100529100529101,FALSE
"ADM MANAGER NON MGRL",2023,1264,1135,129,88232.9380969163,89029.7990697674,83924,82813,-0.00903133217637916,-796.860972851151,0.102056962025316,FALSE
"ADM MANAGER NON MGRL",2024,1469,1319,150,95811.4952236543,98025.3666666667,90769,91664.5,-0.0231065326539841,-2213.87144301241,0.10211027910143,FALSE
"ADM MANAGER NON MGRL",2025,1450,1305,145,99039.3931034483,102166.744827586,94273,94586,-0.0315768466076054,-3127.35172413792,0.1,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2014,905,832,73,65225.7229807692,64510.1232876712,61923.5,60043,0.010971127040002,715.599693097996,0.0806629834254144,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2016,13,13,0,,,,,,,0,TRUE
"ADM MANAGER NON MGRL FROM M1/M2",2017,41,38,3,,,,,,,0.0731707317073171,TRUE
"ADM MANAGER NON MGRL FROM M1/M2",2018,1326,1196,130,75320.5362207358,74187.5615384615,70728,68468,0.0150420421723226,1132.97468227426,0.0980392156862745,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2019,1331,1197,134,76753.1460066834,76730.1774626866,72000,71047.5,0.000299252150456688,22.9685439968162,0.100676183320811,FALSE
"ADM SCHOOL SECURITY MANAGER",2014,4,4,0,,,,,,,0,TRUE
"ADM SCHOOL SECURITY MANAGER",2016,4,4,0,,,,,,,0,TRUE
"ADM SCHOOL SECURITY MANAGER U",2015,4,4,0,,,,,,,0,TRUE
"ADM SCHOOL SECURITY MANAGER U",2017,4,4,0,,,,,,,0,TRUE
"ADM SCHOOL SECURITY MANAGER U",2018,3,3,0,,,,,,,0,TRUE
"ADM SCHOOL SECURITY MANAGER U",2019,2,2,0,,,,,,,0,TRUE
"ADM SCHOOL SECURITY MANAGER U",2020,1,1,0,,,,,,,0,TRUE
"ADM TRAFFIC ENFRCMNT AGENT",2014,1,1,0,,,,,,,0,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2015,1,1,0,,,,,,,0,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2016,1,1,0,,,,,,,0,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2017,1,1,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2014,13,13,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2015,12,12,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2016,11,11,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2017,10,10,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2018,8,8,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2019,10,10,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2020,11,11,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2021,10,10,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2022,12,12,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2023,10,10,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2024,9,9,0,,,,,,,0,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2025,9,9,0,,,,,,,0,TRUE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2014,48,45,3,,,,,,,0.0625,TRUE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2015,42,39,3,,,,,,,0.0714285714285714,TRUE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2016,122,115,7,,,,,,,0.0573770491803279,TRUE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2017,315,284,31,90925.2042253521,89639.3548387097,87950,89697,0.0141418366623136,1285.84938664244,0.0984126984126984,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2018,408,373,35,83602.4423592493,80658.7428571429,81733,80203,0.0352106878583409,2943.69950210646,0.0857843137254902,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2019,436,394,42,84868.2461928934,82649.4047619048,83667,81529,0.026144542046333,2218.84143098864,0.0963302752293578,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2020,400,360,40,86293.4333333333,85015.625,85000,81914.5,0.0148077122901973,1277.80833333332,0.1,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2021,388,352,36,86831.7272727273,84460.5277777778,85000,81023,0.0273079848740294,2371.19949494948,0.0927835051546392,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2022,421,377,44,91305.3395225464,88803.75,89021,83168.5,0.0273980638550575,2501.58952254643,0.104513064133017,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2023,436,386,50,92331.274611399,93501.62,90000,91438,-0.0126755034361515,-1170.34538860104,0.114678899082569,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2024,440,391,49,101442.1857289,100686.918367347,99249,95366,0.0074452985819108,755.267361553313,0.111363636363636,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2025,411,367,44,104293.083433243,102395.704545455,101122,97515,0.0181927585735104,1897.37888778796,0.10705596107056,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2016,23,19,4,,,,,,,0.173913043478261,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2017,24,20,4,,,,,,,0.166666666666667,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2018,21,17,4,,,,,,,0.19047619047619,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2019,34,27,7,,,,,,,0.205882352941176,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2020,48,34,14,,,,,,,0.291666666666667,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2021,45,32,13,,,,,,,0.288888888888889,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2022,56,42,14,,,,,,,0.25,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2023,65,49,16,,,,,,,0.246153846153846,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2024,55,43,12,,,,,,,0.218181818181818,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2025,77,63,14,,,,,,,0.181818181818182,TRUE
"ADMIN CONTRACT SPECIALIST",2014,112,105,7,,,,,,,0.0625,TRUE
"ADMIN CONTRACT SPECIALIST",2015,136,127,9,,,,,,,0.0661764705882353,TRUE
"ADMIN CONTRACT SPECIALIST",2016,177,161,16,,,,,,,0.0903954802259887,TRUE
"ADMIN CONTRACT SPECIALIST",2017,195,171,24,,,,,,,0.123076923076923,TRUE
"ADMIN CONTRACT SPECIALIST",2018,187,166,21,,,,,,,0.112299465240642,TRUE
"ADMIN CONTRACT SPECIALIST",2019,77,72,5,,,,,,,0.0649350649350649,TRUE
"ADMIN CONTRACT SPECIALIST",2020,73,64,9,,,,,,,0.123287671232877,TRUE
"ADMIN CONTRACT SPECIALIST",2021,67,58,9,,,,,,,0.134328358208955,TRUE
"ADMIN CONTRACT SPECIALIST",2022,60,50,10,,,,,,,0.166666666666667,TRUE
"ADMIN CONTRACT SPECIALIST",2023,47,41,6,,,,,,,0.127659574468085,TRUE
"ADMIN CONTRACT SPECIALIST",2024,47,40,7,,,,,,,0.148936170212766,TRUE
"ADMIN CONTRACT SPECIALIST",2025,48,42,6,,,,,,,0.125,TRUE
"ADMIN DIR OF LABORATORY",2016,3,3,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2017,2,2,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2018,2,2,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2019,1,1,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2020,1,1,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2021,2,2,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2022,2,2,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2023,2,2,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2024,2,2,0,,,,,,,0,TRUE
"ADMIN DIR OF LABORATORY",2025,3,3,0,,,,,,,0,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2016,19,16,3,,,,,,,0.157894736842105,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2017,29,26,3,,,,,,,0.103448275862069,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2018,27,25,2,,,,,,,0.0740740740740741,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2019,55,49,6,,,,,,,0.109090909090909,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2020,51,43,8,,,,,,,0.156862745098039,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2021,46,38,8,,,,,,,0.173913043478261,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2022,38,34,4,,,,,,,0.105263157894737,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2023,39,34,5,,,,,,,0.128205128205128,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2024,41,34,7,,,,,,,0.170731707317073,TRUE
"ADMIN HOUSING DEVELOPMENT SPEC",2025,44,37,7,,,,,,,0.159090909090909,TRUE
"ADMIN INSPECTOR",2016,43,40,3,,,,,,,0.0697674418604651,TRUE
"ADMIN INSPECTOR",2017,44,41,3,,,,,,,0.0681818181818182,TRUE
"ADMIN INSPECTOR",2018,53,47,6,,,,,,,0.113207547169811,TRUE
"ADMIN INSPECTOR",2019,53,49,4,,,,,,,0.0754716981132075,TRUE
"ADMIN INSPECTOR",2020,49,45,4,,,,,,,0.0816326530612245,TRUE
"ADMIN INSPECTOR",2021,50,46,4,,,,,,,0.08,TRUE
"ADMIN INSPECTOR",2022,54,49,5,,,,,,,0.0925925925925926,TRUE
"ADMIN INSPECTOR",2023,52,47,5,,,,,,,0.0961538461538462,TRUE
"ADMIN INSPECTOR",2024,53,48,5,,,,,,,0.0943396226415094,TRUE
"ADMIN INSPECTOR",2025,55,50,5,,,,,,,0.0909090909090909,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2014,25,22,3,,,,,,,0.12,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2015,26,23,3,,,,,,,0.115384615384615,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2016,26,23,3,,,,,,,0.115384615384615,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2017,24,21,3,,,,,,,0.125,TRUE
"ADMIN JOB OPOR SPEC MANAGERIAL",2018,27,25,2,,,,,,,0.0740740740740741,TRUE
