"name","male","female","total","common","male_weight","female_weight"
"JAMES",5250638,23882,5274520,TRUE,0.995472194626241,0.00452780537375913
"JOHN",5182633,21744,5204377,TRUE,0.995821978307874,0.00417802169212569
"ROBERT",4849730,20119,4869849,TRUE,0.99586866040405,0.00413133959595051
"MICHAEL",4426753,21880,4448633,TRUE,0.995081635189956,0.00491836481004389
"WILLIAM",4199696,16029,4215725,TRUE,0.996197807020145,0.00380219297985519
"MARY",15173,4141481,4156654,TRUE,0.00365029179720034,0.9963497082028
"DAVID",3676654,12959,3689613,TRUE,0.996487707518377,0.00351229248162341
"JOSEPH",2669490,10723,2680213,TRUE,0.995999198571158,0.00400080142884166
"RICHARD",2577552,9530,2587082,TRUE,0.996316313128072,0.00368368687192752
"CHARLES",2434659,12476,2447135,TRUE,0.994901793321578,0.00509820667842191
"THOMAS",2358576,8511,2367087,TRUE,0.996404441408364,0.00359555859163605
"CHRISTOPHER",2069596,9507,2079103,TRUE,0.995427354969908,0.0045726450300923
"DANIEL",1982812,8279,1991091,TRUE,0.995841978091408,0.00415802190859182
"ELIZABETH",5216,1688757,1693973,TRUE,0.0030791517928562,0.996920848207144
"MATTHEW",1654075,5580,1659655,TRUE,0.996637855457911,0.00336214454208857
"PATRICIA",4961,1573623,1578584,TRUE,0.00314268990436999,0.99685731009563
"GEORGE",1487297,9963,1497260,TRUE,0.993345845077007,0.00665415492299267
"ANTHONY",1488042,7114,1495156,TRUE,0.995241968062196,0.00475803193780448
"JENNIFER",4837,1471703,1476540,TRUE,0.00327590177035502,0.996724098229645
"LINDA",3756,1455143,1458899,TRUE,0.00257454422821594,0.997425455771784
"BARBARA",4136,1436695,1440831,TRUE,0.00287056566661878,0.997129434333381
"DONALD",1414824,5563,1420387,TRUE,0.996083461760774,0.00391653823922635
"PAUL",1398293,5842,1404135,TRUE,0.995839431393705,0.00416056860629498
"MARK",1362176,4496,1366672,TRUE,0.996710256740462,0.0032897432595385
"ANDREW",1329454,4961,1334415,TRUE,0.996282266011698,0.00371773398830199
"EDWARD",1303594,5361,1308955,TRUE,0.995904366460268,0.00409563353973208
"STEVEN",1293124,4466,1297590,TRUE,0.996558234881588,0.00344176511841182
"KENNETH",1283974,5338,1289312,TRUE,0.995859807401157,0.00414019259884341
"MARGARET",3745,1264774,1268519,TRUE,0.00295226165315616,0.997047738346844
"JOSHUA",1248929,4953,1253882,TRUE,0.996049867531394,0.0039501324686055
"KEVIN",1184507,5337,1189844,TRUE,0.995514538040281,0.00448546195971909
"BRIAN",1173735,4563,1178298,TRUE,0.996127465208292,0.00387253479170804
"SUSAN",2541,1123481,1126022,TRUE,0.00225661665580246,0.997743383344198
"DOROTHY",3677,1112231,1115908,TRUE,0.00329507450434982,0.99670492549565
"SARAH",3340,1098498,1101838,TRUE,0.00303129861195566,0.996968701388044
"TIMOTHY",1084192,4328,1088520,TRUE,0.996023959137177,0.00397604086282292
"RONALD",1082247,3844,1086091,TRUE,0.996460701727572,0.00353929827242837
"JASON",1052030,5028,1057058,TRUE,0.995243401970374,0.00475659802962562
"JESSICA",3578,1050729,1054307,TRUE,0.00339369841990995,0.99660630158009
"HELEN",3105,1024202,1027307,TRUE,0.00302246553367202,0.996977534466328
"NANCY",2945,1004448,1007393,TRUE,0.00292338739697417,0.997076612603026
"BETTY",3619,1001238,1004857,TRUE,0.00360150747817849,0.996398492521822
"RYAN",964123,27624,991747,TRUE,0.972146121944407,0.0278538780555928
"KAREN",2785,987989,990774,TRUE,0.00281093367407703,0.997189066325923
"JACOB",988227,2305,990532,TRUE,0.997672967657784,0.0023270323422161
"JEFFREY",979601,3498,983099,TRUE,0.996441863942492,0.00355813605750794
"LISA",2783,967229,970012,TRUE,0.00286903667171128,0.997130963328289
"NICHOLAS",926047,3152,929199,TRUE,0.996607831045879,0.0033921689541207
"FRANK",915978,4611,920589,TRUE,0.994991250167013,0.00500874983298736
"ANNA",2756,914859,917615,TRUE,0.00300343826114438,0.996996561738856
"GARY",902152,3286,905438,TRUE,0.996370817217744,0.00362918278225566
"EMILY",1809,896487,898296,TRUE,0.00201381281893719,0.997986187181063
"ERIC",888891,4293,893184,TRUE,0.995193599527085,0.00480640047291488
"SANDRA",2692,875531,878223,TRUE,0.00306528068611275,0.996934719313887
"ASHLEY",15865,859857,875722,TRUE,0.0181164798874529,0.981883520112547
"JONATHAN",870866,3574,874440,TRUE,0.995912812771602,0.0040871872283976
"STEPHEN",864739,2930,867669,TRUE,0.996623136242046,0.00337686375795378
"KIMBERLY",4273,846393,850666,TRUE,0.00502312305887387,0.994976876941126
"RUTH",2779,836122,838901,TRUE,0.00331266740652353,0.996687332593476
"DONNA",2233,831641,833874,TRUE,0.00267786260274334,0.997322137397257
"BENJAMIN",826830,2482,829312,TRUE,0.997007157740392,0.00299284225960796
"CAROL",8656,816928,825584,TRUE,0.0104846993158782,0.989515300684122
"SAMUEL",820196,2889,823085,TRUE,0.996490034443587,0.00350996555641276
"MICHELLE",3250,816510,819760,TRUE,0.00396457499756026,0.99603542500244
"LARRY",807588,3560,811148,TRUE,0.995611158506216,0.00438884149378412
"LAURA",2579,801811,804390,TRUE,0.00320615621775507,0.996793843782245
"JUSTIN",790469,3804,794273,TRUE,0.995210714703886,0.00478928529611355
"AMANDA",2136,790638,792774,TRUE,0.00269433659529702,0.997305663404703
"RAYMOND",779794,3517,783311,TRUE,0.995510084755608,0.00448991524439207
"EMMA",1733,776439,778172,TRUE,0.0022270140791496,0.99777298592085
"SCOTT",774997,2608,777605,TRUE,0.996646112100617,0.00335388789938336
"BRANDON",770509,4145,774654,TRUE,0.994649224040668,0.00535077595933152
"HENRY",768945,4619,773564,TRUE,0.994028936196617,0.00597106380338278
"MELISSA",2495,760128,762623,TRUE,0.00327160340036951,0.99672839659963
"JACK",756943,2734,759677,TRUE,0.996401102047317,0.00359889795268252
"REBECCA",2114,755992,758106,TRUE,0.00278852825330495,0.997211471746695
"STEPHANIE",2638,745148,747786,TRUE,0.00352774724319525,0.996472252756805
"DEBORAH",1658,742820,744478,TRUE,0.00222706379503491,0.997772936204965
"ALEXANDER",736123,4545,740668,TRUE,0.993863647410176,0.00613635258982432
"SHARON",3106,723024,726130,TRUE,0.00427747097627147,0.995722529023728
"KATHLEEN",1691,713645,715336,TRUE,0.00236392408602391,0.997636075913976
"GREGORY",711893,2860,714753,TRUE,0.995998617704298,0.00400138229570215
"CYNTHIA",1959,711453,713412,TRUE,0.00274595885687373,0.997254041143126
"AMY",1853,701631,703484,TRUE,0.00263403289911356,0.997365967100886
"SHIRLEY",9551,686383,695934,TRUE,0.0137240025634615,0.986275997436538
"PATRICK",686590,2834,689424,TRUE,0.995889322100768,0.00411067789923182
"ANGELA",2135,673257,675392,TRUE,0.00316112716763006,0.99683887283237
"CATHERINE",1822,667789,669611,TRUE,0.0027209827795541,0.997279017220446
"VIRGINIA",2009,652959,654968,TRUE,0.00306732542658573,0.996932674573414
"KATHERINE",1824,650926,652750,TRUE,0.00279433167368824,0.997205668326312
"EVELYN",1906,639756,641662,TRUE,0.00297041121338025,0.99702958878662
"WALTER",631172,3632,634804,TRUE,0.994278548969446,0.00572145103055431
"JERRY",615102,17314,632416,TRUE,0.972622451044882,0.0273775489551181
"DENNIS",621000,2692,623692,TRUE,0.995683766987552,0.00431623301244845
"TYLER",603970,17523,621493,TRUE,0.971804992172076,0.028195007827924
"AARON",614462,4395,618857,TRUE,0.992898197806601,0.00710180219339848
"BRENDA",2119,608478,610597,TRUE,0.00347037407651855,0.996529625923481
"FRANCES",5024,595697,600721,TRUE,0.00836328345438232,0.991636716545618
"JOSE",592512,4220,596732,TRUE,0.992928148649645,0.00707185135035493
"NICOLE",1965,594500,596465,TRUE,0.00329440956300873,0.996705590436991
"PAMELA",1386,595076,596462,TRUE,0.00232370209669686,0.997676297903303
"WILLIE",450188,146197,596385,TRUE,0.754861373106299,0.245138626893701
"SAMANTHA",1205,592847,594052,TRUE,0.00202844195457637,0.997971558045424
"PETER",589588,1943,591531,TRUE,0.996715303170924,0.00328469682907574
"ALICE",1959,588147,590106,TRUE,0.00331974255472746,0.996680257445273
"NATHAN",587497,1774,589271,TRUE,0.996989500586318,0.00301049941368233
"CHRISTINE",2030,586465,588495,TRUE,0.00344947705587983,0.99655052294412
"ADAM",580378,2075,582453,TRUE,0.996437480792442,0.00356251920755838
"RACHEL",1791,573957,575748,TRUE,0.0031107359469768,0.996889264053023
"MARIA",4278,566111,570389,TRUE,0.00750014463813292,0.992499855361867
"OLIVIA",791,567345,568136,TRUE,0.00139227227283608,0.998607727727164
"DOUGLAS",560013,2073,562086,TRUE,0.996311952263533,0.00368804773646737
"CAROLYN",1620,556777,558397,TRUE,0.00290116171827571,0.997098838281724
"JANET",1515,556776,558291,TRUE,0.00271363858632863,0.997286361413671
"KELLY",82400,473965,556365,TRUE,0.148104212162879,0.851895787837121
"HAROLD",551632,2648,554280,TRUE,0.995222631161146,0.00477736883885401
"MARTHA",1991,551741,553732,TRUE,0.00359560220467663,0.996404397795323
"ZACHARY",551752,1529,553281,TRUE,0.997236485619423,0.00276351438057696
"ARTHUR",548729,3201,551930,TRUE,0.994200351493849,0.00579964850615114
"DEBRA",1146,550695,551841,TRUE,0.00207668513213045,0.99792331486787
"MARIE",2193,540077,542270,TRUE,0.00404411086728014,0.99595588913272
"JORDAN",401196,135599,536795,TRUE,0.747391462290073,0.252608537709927
"GRACE",1405,534935,536340,TRUE,0.00261960696573069,0.997380393034269
"NOAH",529602,5020,534622,TRUE,0.990610188132924,0.00938981186707618
"VICTORIA",1276,527915,529191,TRUE,0.00241122770417486,0.997588772295825
"HEATHER",1477,525910,527387,TRUE,0.00280059993894427,0.997199400061056
"TERRY",424523,96955,521478,TRUE,0.814076528635916,0.185923471364084
"DIANE",1383,518651,520034,TRUE,0.0026594414980559,0.997340558501944
"JULIE",1524,511253,512777,TRUE,0.00297205217862736,0.997027947821373
"JOYCE",2900,509332,512232,TRUE,0.0056614971341111,0.994338502865889
"CARL",504827,3190,508017,TRUE,0.993720682575583,0.0062793174244169
