"agency","fiscal_year","n","median_base","median_total_comp","real_median_total","total_ot_paid","mean_ot_paid","median_ot_hours","ot_share_of_pay","pct_with_ot","suppressed"
"ADMIN FOR CHILDREN'S SVCS",2014,5801,49746,59310.01,78007.0979798768,22928935.86,3952.58332356492,6.25,0.0637514049356297,0.531460093087399,FALSE
"ADMIN FOR CHILDREN'S SVCS",2015,5864,51990,65301.065,85472.8518408482,27461706.98,4683.10146316508,13.5,0.0693445662613981,0.635402455661664,FALSE
"ADMIN FOR CHILDREN'S SVCS",2016,5818,53804,64016.245,83310.1396381605,30120536.3799999,5177.12897559299,11.25,0.0778860602086064,0.561533172911653,FALSE
"ADMIN FOR CHILDREN'S SVCS",2017,6212,55564,70021.78,89546.2773097442,45665090.2,7351.10917578879,34.5,0.103366192293084,0.614777849323889,FALSE
"ADMIN FOR CHILDREN'S SVCS",2018,6502,57916,69502.55,87330.0485843383,57295391.7799999,8811.96428483505,60.375,0.123734243645542,0.672869886188865,FALSE
"ADMIN FOR CHILDREN'S SVCS",2019,7017,57838,71107.65,87790.5398107174,57417730.5299999,8182.66075673367,67.75,0.113550663670071,0.702436938862762,FALSE
"ADMIN FOR CHILDREN'S SVCS",2020,6993,60351,69201.42,83952.7258290332,38364992.73,5486.19944658944,46.5,0.0748929322287886,0.668668668668669,FALSE
"ADMIN FOR CHILDREN'S SVCS",2021,6741,60351,68107.32,80954.5294720461,22557974.53,3346.38399792316,3,0.0453136468505975,0.572466993027741,FALSE
"ADMIN FOR CHILDREN'S SVCS",2022,6187,60351,73518.9,83187.9744915388,35884900.6400001,5800.04859220947,16.5,0.073593763241114,0.601099078713431,FALSE
"ADMIN FOR CHILDREN'S SVCS",2023,6087,65970,84513.15,90824.1858726722,48339144.22,7941.37411204206,23.5,0.0931054130392872,0.643009692787909,FALSE
"ADMIN FOR CHILDREN'S SVCS",2024,6353,68000,79608.27,82716.2228071261,48501784.59,7634.4694774123,26.5,0.0903032972971658,0.6151424523847,FALSE
"ADMIN FOR CHILDREN'S SVCS",2025,6341,70156,82494.89,82494.89,47694985.6,7521.68200599273,26.5,0.086104242245739,0.620406875887084,FALSE
"ADMIN TRIALS AND HEARINGS",2014,236,53910,53592.22,70486.8125380372,86563.58,366.794830508475,0,0.00584506005547112,0.14406779661017,FALSE
"ADMIN TRIALS AND HEARINGS",2015,238,59785,60348.62,78990.5747488138,39842.45,167.40525210084,0,0.00239205536217702,0.256302521008403,FALSE
"ADMIN TRIALS AND HEARINGS",2016,234,60251.5,56573.64,73624.4034344568,27246.3,116.437179487179,0,0.00171620908907856,0.106837606837607,FALSE
"ADMIN TRIALS AND HEARINGS",2017,267,61800,59690.28,76333.9973016436,49526.92,185.494082397003,0,0.00271906056486362,0.0674157303370786,FALSE
"ADMIN TRIALS AND HEARINGS",2018,284,61067.5,58308.385,73264.5650400497,62853.98,221.316830985915,0,0.00321250531083968,0.214788732394366,FALSE
"ADMIN TRIALS AND HEARINGS",2019,302,63060,60840.205,75114.2027495594,46050.2,152.484105960265,0,0.00217047490443572,0.16887417218543,FALSE
"ADMIN TRIALS AND HEARINGS",2020,299,64821,63386.56,76898.3424462325,37356.87,124.939364548495,0,0.00166920018806778,0.103678929765886,FALSE
"ADMIN TRIALS AND HEARINGS",2021,278,66950,68464.06,81378.5619966537,96676.53,347.757302158274,0,0.00447837104077437,0.115107913669065,FALSE
"ADMIN TRIALS AND HEARINGS",2022,313,73130,62044.58,70204.5724076154,49232.67,157.292875399361,0,0.00224209686264288,0.111821086261981,FALSE
"ADMIN TRIALS AND HEARINGS",2023,375,86500,71061.89,76368.4504224891,36269.07,96.7175199999999,0,0.00121263402303324,0.12,FALSE
"ADMIN TRIALS AND HEARINGS",2024,413,88732,84712.18,88019.3923992743,97815.12,236.840484261501,0,0.00245965212500338,0.108958837772397,FALSE
"ADMIN TRIALS AND HEARINGS",2025,453,91678,79660.96,79660.96,72230.52,159.449271523179,0,0.00165402034213015,0.0971302428256071,FALSE
"BOARD OF CORRECTION",2015,16,,,,13.78,,,,,TRUE
"BOARD OF CORRECTION",2016,17,,,,158.39,,,,,TRUE
"BOARD OF CORRECTION",2017,21,,,,0,,,,,TRUE
"BOARD OF CORRECTION",2018,28,,,,242.06,,,,,TRUE
"BOARD OF CORRECTION",2019,29,,,,4.85,,,,,TRUE
"BOARD OF CORRECTION",2020,27,,,,0,,,,,TRUE
"BOARD OF CORRECTION",2021,23,,,,101.56,,,,,TRUE
"BOARD OF CORRECTION",2022,23,,,,0,,,,,TRUE
