"title","fiscal_year","n","median_base","median_total_comp","real_median_total","total_ot_paid","mean_ot_paid","median_ot_hours","ot_share_of_pay","pct_with_ot","suppressed"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2014,199,116030,116029.92,152607.584082978,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2015,193,118363,120829.14,158153.793989074,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2016,200,120730,121745.77,158438.800948968,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2017,210,124944,124721.325,159497.949850586,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2018,211,130629,129337.14,162512.292282216,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2019,227,138518,151460.99,186995.94308581,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2020,231,144821,152022.58,184428.440609488,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2021,230,144821,155060.245,184309.545197127,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2022,248,149166,153238.19,173391.803207741,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2023,264,149166,149890.235,161083.317378876,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2024,269,153641,160155.54,166408.104716201,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2025,273,162998,161801.85,161801.85,0,0,0,0,0,FALSE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2014,20,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2015,17,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2016,20,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2017,20,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2018,21,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2019,20,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2020,22,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2021,21,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2022,21,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2023,22,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2024,20,,,,0,,,,,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2025,20,,,,0,,,,,TRUE
"ACCOUNTANT",2014,301,54971,63469.96,83478.4446756772,300642.13,998.811063122924,0,0.0160768073870652,0.275747508305648,FALSE
"ACCOUNTANT",2015,331,57129,67351.73,88156.9762991585,422818.01,1277.39580060423,0,0.0195434865855189,0.395770392749245,FALSE
"ACCOUNTANT",2016,365,58717,63730.27,82937.974460665,418956.37,1147.82567123288,0,0.0190731625297375,0.276712328767123,FALSE
"ACCOUNTANT",2017,391,60212,65646.11,83950.5189723251,415862.18,1063.58613810742,0,0.0173834962151061,0.283887468030691,FALSE
"ACCOUNTANT",2018,436,60021,62587.075,78640.7448431982,326724.53,749.368188073395,0,0.0126372433287965,0.284403669724771,FALSE
"ACCOUNTANT",2019,420,62805,66550.495,82164.2099087855,376153.27,895.603023809523,0,0.0136299591232582,0.29047619047619,FALSE
"ACCOUNTANT",2020,381,65077,69732.89,84597.4865174173,315838.88,828.97343832021,0,0.0121487721604704,0.267716535433071,FALSE
"ACCOUNTANT",2021,373,65000,71961.82,85536.1109210005,354676.82,950.87619302949,0,0.0130926727984902,0.260053619302949,FALSE
"ACCOUNTANT",2022,313,65302,72029.05,81502.1820790269,260862.84,833.427603833866,0,0.0120875023367442,0.309904153354633,FALSE
"ACCOUNTANT",2023,260,71459,81203.815,87267.7256395021,413227.43,1589.33626923077,0,0.0203459249730057,0.384615384615385,FALSE
"ACCOUNTANT",2024,260,74728,80067.405,83193.2827025183,588874.84,2264.90323076923,0,0.0291039204340475,0.307692307692308,FALSE
"ACCOUNTANT",2025,251,77268,82372.14,82372.14,439135.58,1749.5441434263,0,0.0213045755003552,0.362549800796813,FALSE
"ACTUARIAL SPECIALIST LEVEL I",2014,21,,,,59901.36,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2015,21,,,,106127.83,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2016,18,,,,105251.63,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2017,21,,,,74740.74,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2018,21,,,,31080.93,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2019,20,,,,17396.22,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2020,20,,,,98.68,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2021,19,,,,0,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2022,17,,,,0,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2023,16,,,,14114.86,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2024,21,,,,15358.1,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2025,19,,,,13010.5,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2014,2,,,,4018.73,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2015,2,,,,8549.12,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2016,2,,,,9596.65,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2017,2,,,,23435.38,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2018,1,,,,25539.6,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2019,1,,,,15854.46,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2020,3,,,,16981.94,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2021,3,,,,10906.68,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2022,2,,,,0,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2024,1,,,,0,,,,,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2025,1,,,,0,,,,,TRUE
"ADM DIR FLEET MAINTENANCE NM",2014,1,,,,1714.95,,,,,TRUE
"ADM DIR FLEET MAINTENANCE NM",2015,1,,,,5005.8,,,,,TRUE
"ADM DIR FLEET MAINTENANCE NM",2016,1,,,,3244.5,,,,,TRUE
"ADM DIR FLEET MAINTENANCE NM",2017,1,,,,7113.58,,,,,TRUE
"ADM MANAGER",2016,5,,,,0,,,,,TRUE
"ADM MANAGER NON MGR",2016,28,,,,1383.83,,,,,TRUE
"ADM MANAGER NON MGRL",2014,49,70820,69779.72,91777.3147407726,79568.96,1623.85632653061,0,0.0231820880674185,0.285714285714286,FALSE
"ADM MANAGER NON MGRL",2015,1140,65000,67738.355,88663.0314659918,2685026.13,2355.28607894737,0,0.0344271138044183,0.553508771929825,FALSE
"ADM MANAGER NON MGRL",2016,920,68678,68082.775,88602.2835641713,2592857.82,2818.3237173913,0,0.0397685784341704,0.440217391304348,FALSE
"ADM MANAGER NON MGRL",2017,1211,69288,72169.61,92292.9966989712,3632080.33,2999.24056977705,0,0.0394867252287794,0.450041288191577,FALSE
"ADM MANAGER NON MGRL",2020,1275,77345,86416.68,104837.673028896,3401034.04,2667.47767843137,0,0.0298253433256365,0.47843137254902,FALSE
"ADM MANAGER NON MGRL",2021,1227,80138,83419.12,99154.6225658586,2756285.25,2246.36124694377,0,0.0254315741553366,0.308068459657702,FALSE
"ADM MANAGER NON MGRL",2022,1134,82071,85810.005,97095.5836806428,3336435.88,2942.18331569665,0,0.0325175763623958,0.371252204585538,FALSE
"ADM MANAGER NON MGRL",2023,1264,83897,87516.545,94051.8599769868,4985313.47,3944.07711234177,0,0.0430415540848869,0.438291139240506,FALSE
"ADM MANAGER NON MGRL",2024,1469,90769,102229.48,106220.577901475,6639818.41,4519.9580735194,0,0.0422512485113392,0.524846834581348,FALSE
"ADM MANAGER NON MGRL",2025,1450,94338,97957.99,97957.99,4776046.95,3293.82548275862,0,0.0320474800893399,0.390344827586207,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2014,905,61760,62713.51,82483.5288213909,2000856.48,2210.89113812155,0,0.0345610104287401,0.427624309392265,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2016,13,,,,52123.99,,,,,TRUE
"ADM MANAGER NON MGRL FROM M1/M2",2017,41,72248,76712.96,98103.1900276073,143588.35,3502.15487804878,0,0.0438109930120221,0.560975609756098,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2018,1326,70460,72143.53,90648.4435455342,3713174.21,2800.28220965309,0,0.036671426157436,0.438914027149321,FALSE
"ADM MANAGER NON MGRL FROM M1/M2",2019,1331,72000,74015.76,91380.9347503469,3850108.55,2892.64353869271,0,0.0371341375863406,0.416979714500376,FALSE
"ADM SCHOOL SECURITY MANAGER",2014,4,,,,40233.35,,,,,TRUE
"ADM SCHOOL SECURITY MANAGER",2016,4,,,,50648.14,,,,,TRUE
"ADM SCHOOL SECURITY MANAGER U",2015,4,,,,41809.86,,,,,TRUE
"ADM SCHOOL SECURITY MANAGER U",2017,4,,,,53427.82,,,,,TRUE
"ADM SCHOOL SECURITY MANAGER U",2018,3,,,,38036.94,,,,,TRUE
"ADM SCHOOL SECURITY MANAGER U",2019,2,,,,12527.4,,,,,TRUE
"ADM SCHOOL SECURITY MANAGER U",2020,1,,,,0,,,,,TRUE
"ADM TRAFFIC ENFRCMNT AGENT",2014,1,,,,0,,,,,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2015,1,,,,0,,,,,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2016,1,,,,0,,,,,TRUE
"ADM TRAFFIC ENFRCMNT AGENT DIRECTOR OF PARKING ENFRCMNT DIST",2017,1,,,,0,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2014,13,,,,58025.08,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2015,12,,,,5203.78,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2016,11,,,,17598.3,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2017,10,,,,9308.53,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2018,8,,,,14452.87,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2019,10,,,,4570.49,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2020,11,,,,5866.32,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2021,10,,,,9722.37,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2022,12,,,,6612.09,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2023,10,,,,5678.08,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2024,9,,,,10123.58,,,,,TRUE
"ADMIN ASST CAMPAIGN FIN BOARD",2025,9,,,,12460.63,,,,,TRUE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2014,48,80536.5,78777.535,103611.631347865,2587.71,53.910625,0,0.000666958037307896,0.0625,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2015,42,79730.5,77505.335,101447.074643121,53279.39,1268.5569047619,0,0.0152591639868288,0.333333333333333,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2016,122,87268.5,87039.82,113272.803774735,341111.21,2795.99352459017,0,0.0316686703939234,0.524590163934426,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2017,315,88595,89173.54,114038.211275571,1053811.35,3345.43285714286,0,0.037754969455079,0.422222222222222,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2018,408,81610.5,82906.74,104172.431546312,1234630.52,3026.05519607843,0,0.0358518454343815,0.397058823529412,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2019,436,83004,84585.765,104430.816791899,1172489.45,2689.19598623853,0,0.0314998781888079,0.385321100917431,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2020,400,84992,84951.115,103059.701180491,998254.74,2495.63685,0,0.0287219547311653,0.3875,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2021,388,84992,85797.85,101982.056795998,947900.51,2443.04255154639,0,0.0279240854342352,0.332474226804124,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2022,421,88952,97541.55,110370.040537401,1496939.5,3555.6757719715,0,0.035254164003389,0.522565320665083,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2023,436,90000,92700.81,99623.2609716626,2294552.27,5262.73456422018,0,0.0555350229768678,0.472477064220183,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2024,440,99184,110149.77,114450.080594311,2485578.82,5649.04277272727,0,0.0504127403864573,0.563636363636364,FALSE
"ADMIN COMMUNITY RELATIONS SPECIALIST",2025,411,100871,102171.76,102171.76,1313538.61,3195.95768856448,0,0.0304344769159257,0.408759124087591,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2016,23,,,,51650.86,,,,,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2017,24,,,,182251.39,,,,,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2018,21,,,,100206.49,,,,,TRUE
"ADMIN CONSTRUCTION PROJECT MANAGER",2019,34,112245,109598.055,135311.354132146,112687.89,3314.34970588235,0,0.0342737280802342,0.382352941176471,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2020,48,116541,112586.85,136586.40169529,148067.7,3084.74375,0,0.0282887482718224,0.395833333333333,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2021,45,117428,117683.17,139881.963555882,168673.61,3748.30244444444,0,0.033209748276992,0.422222222222222,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2022,56,114309.5,108035.93,122244.622661787,90632.23,1618.43267857143,0,0.0159196267734547,0.357142857142857,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2023,65,111458,110707.48,118974.582547392,168392.56,2590.65476923077,0,0.0235910209033301,0.415384615384615,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2024,55,119530,119697.8,124370.871196206,220508.17,4009.23945454545,0,0.0331646392610469,0.4,FALSE
"ADMIN CONSTRUCTION PROJECT MANAGER",2025,77,129089,123915.48,123915.48,353651.71,4592.87935064935,0,0.0374709078718956,0.363636363636364,FALSE
"ADMIN CONTRACT SPECIALIST",2014,112,88708.5,81398.625,107059.002616966,22763.39,203.244553571428,0,0.00249269870145993,0.0535714285714286,FALSE
