"fiscal_year","cpi","rent","zori","deflator"
2014,258.86375,343.49825,,1.31524337931956
2015,260.117416666667,353.506833333333,,1.30890440823359
2016,261.61925,366.310583333333,2372.91657389711,1.30139060230978
2017,266.233666666667,376.559666666667,2422.88364695952,1.2788346327349
2018,270.96575,385.17975,2461.24206881113,1.2565013597967
2019,275.769333333333,394.159916666667,2526.30899837907,1.23461455709361
2020,280.645166666667,405.10725,2591.5027950159,1.21316478518841
2021,286.437583333333,409.2355,2420.96398165196,1.18863184562314
2022,300.895583333333,412.090416666667,2785.28265081301,1.13151821492893
2023,316.810916666667,430.928666666667,3070.38868639756,1.07467519401031
2024,327.676166666667,453.080083333333,3193.88826338303,1.03904057715519
2025,340.468833333333,476.876583333333,3319.17792175915,1
