"agency","fiscal_year","n","median_salary","mean_salary","real_median","wage_index","cpi_index","rent_index","suppressed"
"ADMIN FOR CHILDREN'S SVCS",2014,5801,49746,58057.5006033442,65428.0971476308,100,100,100,FALSE
"ADMIN FOR CHILDREN'S SVCS",2015,5864,51990,60528.5460436562,68049.9401840643,104.510915450488,100.484295953631,102.913721782668,FALSE
"ADMIN FOR CHILDREN'S SVCS",2016,5818,53804,62896.5061876934,70020.0199666755,108.157439794154,101.0644595854,106.641178909451,FALSE
"ADMIN FOR CHILDREN'S SVCS",2017,6212,55564,64818.9190276884,71057.1675332822,111.695412696498,102.847025381756,109.624915604859,FALSE
"ADMIN FOR CHILDREN'S SVCS",2018,6502,57916,65468.3798831129,72771.5327539858,116.423431029631,104.675046235713,112.134414076345,FALSE
"ADMIN FOR CHILDREN'S SVCS",2019,7017,57838,67493.912070686,71407.6367531802,116.266634503277,106.530687797474,114.748740835409,FALSE
"ADMIN FOR CHILDREN'S SVCS",2020,6994,60351,70204.7846725765,73215.707950906,121.318296948498,108.414239794744,117.935753675601,FALSE
"ADMIN FOR CHILDREN'S SVCS",2021,6742,60351,70813.1773954316,71735.1205152024,121.318296948498,110.65187123857,119.137579303534,FALSE
"ADMIN FOR CHILDREN'S SVCS",2022,6188,60351,71295.8949579832,68288.255789176,121.318296948498,116.237048769221,119.968709204972,FALSE
"ADMIN FOR CHILDREN'S SVCS",2023,6089,65970,76546.1852520939,70896.32254886,132.613677481607,122.385199421188,125.45294384081,FALSE
"ADMIN FOR CHILDREN'S SVCS",2024,6354,68000,81074.9098205853,70654.7592465529,136.69440759056,126.5824846726,131.901715171281,FALSE
"ADMIN FOR CHILDREN'S SVCS",2025,6341,70156,83332.0952531149,70156,141.028424395931,131.524337931956,138.829406942636,FALSE
"ADMIN TRIALS AND HEARINGS",2014,236,53910,64369.4872881356,70904.7705791174,100,100,100,FALSE
"ADMIN TRIALS AND HEARINGS",2015,238,59785,68578.3655462185,78252.8500462451,110.897792617325,100.484295953631,102.913721782668,FALSE
"ADMIN TRIALS AND HEARINGS",2016,234,60251.5,70916.1239316239,78410.7358750678,111.763123724726,101.0644595854,106.641178909451,FALSE
"ADMIN TRIALS AND HEARINGS",2017,267,61800,72092.1610486891,79031.980303017,114.63550361714,102.847025381756,109.624915604859,FALSE
"ADMIN TRIALS AND HEARINGS",2018,284,61067.5,70999.1126760564,76731.3967893851,113.276757558894,104.675046235713,112.134414076345,FALSE
