"title","fiscal_year","n","median_salary","mean_salary","real_median","wage_index","cpi_index","rent_index","suppressed"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2014,199,116030,117088.788944724,152607.689302448,100,100,100,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2015,193,118363,119068.124352332,154925.852471752,102.010686891321,100.484295953631,102.913721782668,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2016,200,120730,121457.935,157116.88741686,104.050676549168,101.0644595854,106.641178909451,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2017,210,124944,126296.514285714,159782.71435243,107.682495906231,102.847025381756,109.624915604859,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2018,211,130629,131628.331753554,164135.516128883,112.582090838576,104.675046235713,112.134414076345,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2019,227,138518,138784.154185022,171016.339219493,119.381194518659,106.530687797474,114.748740835409,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2020,231,144821,145402.415584416,175691.737355771,124.813410324916,108.414239794744,117.935753675601,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2021,230,144821,146180.534782609,172138.852514989,124.813410324916,110.65187123857,119.137579303534,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2022,248,149166,149552.096774194,168784.046048089,128.558131517711,116.237048769221,119.968709204972,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2023,264,149166,148728.617424242,160304.999989742,128.558131517711,122.385199421188,125.45294384081,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2024,269,153641,153614.375464684,159639.2333147,132.414892700164,126.5824846726,131.901715171281,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2025,273,162998,162714.663003663,162998,140.479186417306,131.524337931956,138.829406942636,FALSE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2014,20,,,,,100,100,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2015,17,,,,,100.484295953631,102.913721782668,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2016,20,,,,,101.0644595854,106.641178909451,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2017,20,,,,,102.847025381756,109.624915604859,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2018,21,,,,,104.675046235713,112.134414076345,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2019,20,,,,,106.530687797474,114.748740835409,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2020,22,,,,,108.414239794744,117.935753675601,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2021,21,,,,,110.65187123857,119.137579303534,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2022,21,,,,,116.237048769221,119.968709204972,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2023,22,,,,,122.385199421188,125.45294384081,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2024,20,,,,,126.5824846726,131.901715171281,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2025,20,,,,,131.524337931956,138.829406942636,TRUE
"ACCOUNTANT",2014,301,54971,56293.9667774086,72300.2438045755,100,100,100,FALSE
"ACCOUNTANT",2015,331,57129,58842.6253776435,74776.3999379767,103.925706281494,100.484295953631,102.913721782668,FALSE
"ACCOUNTANT",2016,365,58717,59952.0465753425,76413.7519958234,106.814502192065,101.0644595854,106.641178909451,FALSE
"ACCOUNTANT",2017,391,60212,61204.2571867008,77001.190906234,109.534117989485,102.847025381756,109.624915604859,FALSE
"ACCOUNTANT",2018,436,60021,60880.7971559633,75416.4681163579,109.186662058176,104.675046235713,112.134414076345,FALSE
"ACCOUNTANT",2019,420,62805,64120.3071428571,77539.9672582642,114.251150606684,106.530687797474,114.748740835409,FALSE
"ACCOUNTANT",2020,381,65077,67426.5196850394,78949.1247257064,118.384238962362,108.414239794744,117.935753675601,FALSE
"ACCOUNTANT",2021,373,65000,67546.4101876676,77261.0699655044,118.244165105237,110.65187123857,119.137579303534,FALSE
"ACCOUNTANT",2022,313,65302,68260.5987220447,73890.4024712892,118.793545687726,116.237048769221,119.968709204972,FALSE
"ACCOUNTANT",2023,260,71459,74472.6903846154,76795.2146887826,129.993996834695,122.385199421188,125.45294384081,FALSE
"ACCOUNTANT",2024,260,74728,77687.5692307692,77645.424249653,135.940768768987,126.5824846726,131.901715171281,FALSE
"ACCOUNTANT",2025,251,77268,80581.0079681275,77268,140.5613869131,131.524337931956,138.829406942636,FALSE
"ACTUARIAL SPECIALIST LEVEL I",2014,21,,,,,100,100,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2015,21,,,,,100.484295953631,102.913721782668,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2016,18,,,,,101.0644595854,106.641178909451,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2017,21,,,,,102.847025381756,109.624915604859,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2018,21,,,,,104.675046235713,112.134414076345,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2019,20,,,,,106.530687797474,114.748740835409,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2020,20,,,,,108.414239794744,117.935753675601,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2021,19,,,,,110.65187123857,119.137579303534,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2022,17,,,,,116.237048769221,119.968709204972,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2023,16,,,,,122.385199421188,125.45294384081,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2024,21,,,,,126.5824846726,131.901715171281,TRUE
"ACTUARIAL SPECIALIST LEVEL I",2025,19,,,,,131.524337931956,138.829406942636,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2014,2,,,,,100,100,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2015,2,,,,,100.484295953631,102.913721782668,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2016,2,,,,,101.0644595854,106.641178909451,TRUE
"ACTUARIAL SPECIALIST LEVEL II OJ",2017,2,,,,,102.847025381756,109.624915604859,TRUE
