"title","fiscal_year","n","mean_salary","p10","p25","median_salary","p75","p90","real_median","mean_ot_share","median_tenure","n_agencies","suppressed"
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2014,199,117088.788944724,108869,112263,116030,121463,130098,152607.689302448,0,17.7248459958932,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2015,193,119068.124352332,111058,114520,118363,123905,131604.6,154925.852471752,0,17.4811772758385,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2016,200,121457.935,113279,116810,120730,126383,129815.6,157116.88741686,0,17.7590691307324,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2017,210,126296.514285714,117233,120887,124944,130794,140091,159782.71435243,0,17.9438740588638,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2018,211,131628.331753554,122567,126388,130629,136745,146466,164135.516128883,0,16.8186173853525,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2019,227,138784.154185022,129969,134021,138518,145003,155311,171016.339219493,0,16.6050650239562,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2020,231,145402.415584416,135882,140119,144821,151601,162378,175691.737355771,0,16.331279945243,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2021,230,146180.534782609,135882,140119,144821,151601,162378,172138.852514989,0,17.0308008213552,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2022,248,149552.096774194,139958,144323,149166,151363,167249,168784.046048089,0,16.8131416837782,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2023,264,148728.617424242,139958,139958,149166,151363,167249,160304.999989742,0,16.829568788501,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2024,269,153614.375464684,144157,148653,153641,155904,172266,159639.2333147,0,17.6837782340862,1,FALSE
"12 MONTH SPECIAL EDUCATION ASST. PRINCIPAL",2025,273,162714.663003663,152936,157706,162998,165336,175127,162998,0,17.8343600273785,1,FALSE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2014,20,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2015,17,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2016,20,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2017,20,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2018,21,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2019,20,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2020,22,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2021,21,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2022,21,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2023,22,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2024,20,,,,,,,,,,1,TRUE
"12 MONTH SPECIAL EDUCATION SUPERVISOR",2025,20,,,,,,,,,,1,TRUE
"ACCOUNTANT",2014,301,56293.9667774086,44048,49041,54971,61110,70000,72300.2438045755,0.0131872944303214,11.9972621492129,28,FALSE
"ACCOUNTANT",2015,331,58842.6253776435,50920,50920,57129,62430,73327,74776.3999379767,0.0158499446853728,10.652977412731,29,FALSE
"ACCOUNTANT",2016,365,59952.0465753425,49200,52249,58717,65000,74941.6,76413.7519958234,0.0145649200548159,8.91991786447639,30,FALSE
"ACCOUNTANT",2017,391,61204.2571867008,48631,53759,60212,66133.5,77226,77001.190906234,0.0136205736914931,7.14031485284052,29,FALSE
"ACCOUNTANT",2018,436,60880.7971559633,48631,53759,60021,65823,76927,75416.4681163579,0.00991246819660169,4.31622176591376,33,FALSE
"ACCOUNTANT",2019,420,64120.3071428571,50720,56167,62805,69022.5,80604,77539.9672582642,0.010871318388041,4.08761122518823,30,FALSE
"ACCOUNTANT",2020,381,67426.5196850394,57750,58063,65077,73539,84054,78949.1247257064,0.0102302168560619,5.50308008213552,33,FALSE
